Name,Qty,Price Per Unit,Total Price,Link,Notes,,,,,,
M6x20mm,1,7.59,7.59,https://www.amazon.com/SVLING-M6-1-0-Socket-Threads-Spanner/dp/B0FX3Y5Z4T?crid=1TCPO47Q81XIF&dib=eyJ2IjoiMSJ9.DAXk9zFuv45XVl7K5GXVwHfhTQroEj1ovFRZshqN3j9c7lqw0TVUqN8mDAOh6VmEGEfJL0kd0lbGxYeXJ-gg7TZpYw1ZcsT6IDgwG0xia1UnKKxKNWsmPrKUVu6gibWVO-uBsF-8jJJA_ObjIA_h1MK4vVGoIuyX6_MA23Kc0WZYmYX7sPLJeqfx2EM-nuMbHWl-mQMAIV1cYU-D2Lzo2WRh-PJQmeHttsVLfoN5xgWTBtYoAdi0cDuFsQgRFM5Hx-szZiQg24R6u9fTJ6yRLJdiDrm28P8dI39_yDBO8IM.aG7xsVy2GWvFZvcdFeuScNa66m7w8NnEIyHcivoknvg&dib_tag=se&keywords=m6x20&qid=1782249124&s=industrial&sprefix=m6x20%2Cindustrial%2C132&sr=1-26&th=1,60pcs,,,,,,
M6 40mm Standoff,2,7.69,15.38,https://www.amazon.com/Long-Sleeve-Standoff-Threaded-Fasteners/dp/B081F8H5QJ?crid=44ODECC1L6NI&dib=eyJ2IjoiMSJ9.HiyPXB9Vj4cEW7_zjeudPG_AT6jeMvUAECP4w-aYWGHjEJ5POVRWpJQCqUcyNsziUgwK5_NRTdAMyzG3VbzMAJWYhLJqnNBJGjpv8PAjKM5bVZjeTCtDTv-Hz8HhWrY_yRy0cd5J2xApDxJNtF_d43OJscoR781O0zkQJrpncJ8pcvbPxu_H-saUyI2xeB4ln6rTEuuKhWBWErTYCxOEv5r7KI4gbuqwRYgwy0u-T9V9f1SRidyAA9i8ZQBOuD6EvED3vizG97Mu2AO3puNsVyoQzMNjerXmJzn9t9huBVA.auZQv3ElR5DQ2u0hcSPmQMOMJkEmn0rn0VXZFHLX2lw&dib_tag=se&keywords=m6+threaded+spacer+40mm&qid=1782249363&s=industrial&sprefix=m6+threaded+spacer+40mm%2Cindustrial%2C125&sr=1-2,5pcs each,,,,,,
M5 25mm Standoff,1,8.99,8.99,https://www.amazon.com/uxcell-Connector-Stainless-Coupling-M5x25x8mm/dp/B0CXHH9BRF?crid=7UEVQ3994SJJ&dib=eyJ2IjoiMSJ9.IH7uSFmw10ncb1f0kDwoEGq5ckVlxbYaxCJcBRYpnloHP6UpCneD3BNAZnfsXRP8UfIMevM8RYJsE_MQCebaqfyi8LM-jCmnva7Xmw2tm4-N0YEPXFFheha91NdMfBQNV0UXNFxWHmbi_KRgCG6FhHmNyy0bqaYW8UWpaL9R5PFwJVhLnFBC2F-vCNfrbqlEjcds4hOSS654jpxAq1CzVD6l7U-GijFHNmqba82uZuDWCeaDG0yAgmJH93WwdpitIBQgcx1RgOCYEVZcckT1C417hbvUKZ-lfod4OLNK1eQ.vDFU79IpOwhN91SRBpcty6s3MeLn3C27fDV0n090zQQ&dib_tag=se&keywords=m5%2Bthreaded%2Bspacer&qid=1782249478&s=industrial&sprefix=m5%2Bthreaded%2Bspacer%2Cindustrial%2C115&sr=1-3&th=1,10pcs,,,,,,
ER11 Collet Set,1,7.77,7.77,https://www.aliexpress.us/item/3256807260068482.html?spm=a2g0o.productlist.main.5.73787591iG8bvc&algo_pvid=69eef72f-41b7-403d-aac5-bbcec03395d5&algo_exp_id=69eef72f-41b7-403d-aac5-bbcec03395d5-4&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2134.22%217.77%21%21%21231.36%2152.52%21%402101e2b617828509658935322e1ce1%2112000041505649441%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afeb89357%3Bm03_new_user%3A-29895%3BpisId%3A5000000209510138&curPageLogUid=VOq0uiV4ufl0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007446383234%7C_p_origin_prod%3A,,,,,,,
aluminum cutter,1,5,5,https://www.aliexpress.us/item/3256808940836368.html?spm=a2g0o.productlist.main.1.3e88xqMlxqMlKc&algo_pvid=3945ccd5-d3b5-43b8-8592-207c17e84be4&algo_exp_id=3945ccd5-d3b5-43b8-8592-207c17e84be4-0&pdp_ext_f=%7B%22order%22%3A%22426%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.23%210.99%21%21%2175.95%216.73%21%402101ea8c17828513790308327e12d7%2112000048015262087%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afeb89357%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262921&curPageLogUid=XHN2M4vGEglH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009127151120%7C_p_origin_prod%3A,,,,,,,
wood/acrylic cutter,1,6,6,https://www.aliexpress.us/item/3256803836596200.html?spm=a2g0o.productlist.main.13.48caDmvPDmvPoU&algo_pvid=8f1002bd-013e-468a-b4b1-212788b25201&algo_exp_id=8f1002bd-013e-468a-b4b1-212788b25201-12&pdp_ext_f=%7B%22order%22%3A%22481%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.21%210.99%21%21%216.21%210.99%21%402101f54117828516222887141e5b57%2112000057647543435%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Afeb89357%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262936&curPageLogUid=DVNjC7utKewG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004022910952%7C_p_origin_prod%3A,,,,,,,
PicoBOB,1,19,19,https://expatria.myshopify.com/en-us/products/picobob,,,,,,,
Mach3 Breakout Board,1,10,10,https://www.amazon.com/Acxico-Interface-Adapter-Breakout-Stepper/dp/B0B2QWHFKD,,,,,,,
Nema23 2.4NM + DM542T,4,35,140,https://www.omc-stepperonline.com/1-axis-stepper-cnc-kit-2-4nm-339-87oz-in-nema-23-stepper-motor-driver-1-dm542t-23hs32,,,,,,,
500w spindle,1,150,150,https://www.amazon.com/RATTMMOTOR-Brushless-12000RPM-Controller-Switching/dp/B09X2Y63XQ?crid=2MT3HOCCD0NSX&dib=eyJ2IjoiMSJ9.80MCbpRdxsYOBfUvA_meG8VHBi0JquH97wu-jC5K8_ogH_gkXgNYHmGB2bncSsyP4bQnw6kUzqqU0_PvE67Pm0WWaXo7h4dj7NtvsBt0NSBjczQKVDzIiZbfmKWIxfq3ONYzUre0ku93fH1xAsabwAH8-jSpqdms9tV1pUKKZopbA1tebcLfDPcSOtR3yqMsk-SwGOP8pRTKMPNkkthpftw75b73i4Xlg3BE0DTDFbcHE6xBJ-lJQzKHaONoo6HVYMJodZLrphZztd7nQY7GTu8YAq3rorF4lq_mSopUnsY.fA4QvYYcb7873B5WuwASA9O1xYc2dv0ohqru6kd39L4&dib_tag=se&keywords=500w+spindle+with+driver&qid=1780259275&sprefix=500w+spindle+with+driver%2Caps%2C161&sr=8-4,make sure the shaft is one thing and not set screwed on,,,,,,
